Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price,Low Price,High Price,% Marked Local
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,BRAEBURN,,,per pound,125.0,1.24,0.88,1.49,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,BRAEBURN,Y,,3 lb bag,112.0,3.0,3.0,3.0,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,BRAEBURN,Y,,per pound,91.0,1.57,1.49,1.99,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,FUJI,,,per pound,15.0,1.21,0.88,1.49,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,FUJI,Y,,3 lb bag,112.0,3.0,3.0,3.0,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,142.0,1.99,1.99,1.99,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,GALA,,,per pound,504.0,1.34,0.99,1.69,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,GALA,Y,,3 lb bag,168.0,3.33,3.0,3.99,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,GALA,Y,,per pound,392.0,1.99,1.79,1.99,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,,,3 lb bag,113.0,2.99,2.99,2.99,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,,,per pound,828.0,1.36,0.88,1.79,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,Y,,per pound,210.0,1.99,1.99,1.99,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,GRANNY SMITH,,,per pound,509.0,1.24,0.98,1.49,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,GRANNY SMITH,Y,,3 lb bag,112.0,3.0,3.0,3.0,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,GRANNY SMITH,Y,,per pound,626.0,1.99,1.99,1.99,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,Y,,per pound,17.0,2.49,2.49,2.49,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,RED DELICIOUS,,,3 lb bag,254.0,2.99,2.99,2.99,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,RED DELICIOUS,,,per pound,1010.0,1.37,0.89,1.79,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,RED DELICIOUS,Y,,3 lb bag,168.0,3.33,3.0,3.99,
2011-01-07,NORTHEAST U.S.,FRUITS,APPLES,RED DELICIOUS,Y,,per pound,502.0,1.7,1.29,1.99,
2011-01-14,NORTHEAST U.S.,FRUITS,APPLES,BRAEBURN,,,per pound,284.0,1.06,0.98,1.49,
2011-01-14,NORTHEAST U.S.,FRUITS,APPLES,BRAEBURN,Y,,per pound,20.0,1.84,1.69,1.99,
2011-01-14,NORTHEAST U.S.,FRUITS,APPLES,FUJI,,,per pound,381.0,1.53,0.98,1.69,
2011-01-14,NORTHEAST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,24.0,1.99,1.99,1.99,
2011-01-14,NORTHEAST U.S.,FRUITS,APPLES,GALA,,,3 lb bag,219.0,2.75,2.5,2.99,
